# Sensor: Rotor
# Record count: 400
# Storage mode: Memory
# Datetime of save: 2026-04-08T11:29:09
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	590.603 [0.3s]	4.77465 [0s]	5.57287 [0s]	0 [0s]	0 [0s]	60.32 [0.3s]	0 [0s]	44.583 [0s]	7.9042 [35.7s]	2.63473 [35.7s]	0 [0s]	8.59437 [0s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-0.000502811 [34.8s]	-0.000502811 [34.8s]	-0.000502811 [34.8s]	-6469.24 [47.1s]
Max	4436.72 [22.8s]	6421.6 [12.9s]	949.625 [29.1s]	7.5909 [35.7s]	8.85995 [35.7s]	0 [0s]	56.6419 [22.8s]	96.9879 [29.1s]	7.35545 [12.9s]	70.8796 [35.7s]	12.5664 [0s]	4.18879 [0s]	359.907 [12.6s]	13.6636 [35.7s]	8 [0s]	0 [0s]	-8 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0.000184265 [16.8s]	0.000184265 [16.8s]	0.000184265 [16.8s]	3761.28 [17.4s]
Mean	3667.79	5057.11	849.821	7.01264	8.18502	0	46.8252	86.7947	5.79254	65.4801	8.71435	2.90478	177.651	12.6228	8	0	-8	0	0	0	0	0	-0.000323237	-0.000323237	-0.000323237	-4345.28
Standard deviation	348.125	722.864	94.2386	0.827769	0.966156	0	4.44438	9.62486	0.827985	7.72925	1.3497	0.449901	104.277	1.48998	0	0	0	0	0	0	0	0	0.000185858	0.000185858	0.000185858	3221.28
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	916.808	4.77465	5.57287	0	0	93.6362	0	44.583	12.5664	4.18879	0	8.59437	8	0	-8	0	0	0	0	0	0	0	0	0
0.3	3197.9	6395.8	590.603	4.77465	5.57288	0	40.8264	60.32	7.3259	44.583	12.5664	4.18879	0	8.59437	8	0	-8	0	0	0	0	0	0	0	0	-9.31323e-09
0.6	3198.25	6396.5	590.681	4.77465	5.57288	0	40.8308	60.3279	7.3267	44.583	12.5664	4.18879	8.59437	8.59438	8	0	-8	0	0	0	0	0	0	0	0	-0.30531
0.9	3198.22	6396.41	590.675	4.77467	5.5729	0	40.8304	60.3273	7.3266	44.5832	12.5663	4.18877	17.1887	8.59441	8	0	-8	0	0	0	0	0	0	0	0	-1.81193
1.2	3198.2	6396.3	590.671	4.77472	5.57296	0	40.8301	60.3269	7.32647	44.5837	12.5662	4.18873	25.7831	8.5945	8	0	-8	0	0	0	0	0	0	0	0	-2.90957
1.5	3198.18	6396.14	590.67	4.77482	5.57308	0	40.83	60.3268	7.32629	44.5846	12.5659	4.18864	34.3776	8.59468	8	0	-8	0	0	0	0	0	0	0	0	-1.76902
1.8	3198.18	6395.89	590.673	4.775	5.57328	0	40.8299	60.3271	7.326	44.5863	12.5655	4.18848	42.9722	8.595	8	0	-8	0	0	0	0	0	0	0	0	3.57454
2.1	3198.19	6395.53	590.682	4.77528	5.57362	0	40.83	60.3281	7.32559	44.5889	12.5647	4.18823	51.567	8.59551	8	0	-8	0	0	0	0	0	0	0	0	15.2595
2.4	3198.24	6395.06	590.703	4.77571	5.57412	0	40.8307	60.3302	7.32505	44.5929	12.5636	4.18786	60.1623	8.59628	8	0	-8	0	0	0	0	0	8.53774e-07	8.53774e-07	8.53774e-07	34.4488
2.7	3198.37	6394.5	590.74	4.77633	5.57483	0	40.8324	60.334	7.32441	44.5987	12.562	4.18732	68.7582	8.59739	8	0	-8	0	0	0	0	0	8.53774e-07	8.53774e-07	8.53774e-07	61.8089
3	3198.63	6393.88	590.801	4.77717	5.57582	0	40.8356	60.3402	7.3237	44.6065	12.5597	4.18658	77.355	8.5989	8	0	-8	0	0	0	0	0	1.47878e-06	1.47878e-06	1.47878e-06	96.7419
3.3	3199.06	6393.25	590.895	4.77829	5.57712	0	40.8411	60.3498	7.32298	44.617	12.5568	4.1856	85.9531	8.60091	8	0	-8	0	0	0	0	0	1.9091e-06	1.9091e-06	1.9091e-06	138.093
3.6	3199.73	6392.67	591.03	4.77973	5.5788	0	40.8497	60.3636	7.32231	44.6304	12.553	4.18434	94.553	8.60351	8	0	-8	0	0	0	0	0	2.41484e-06	2.41484e-06	2.41484e-06	183.905
3.9	3200.71	6392.18	591.215	4.78155	5.58093	0	40.8622	60.3825	7.32175	44.6474	12.5482	4.18275	103.155	8.60679	8	0	-8	0	0	0	0	0	3.07832e-06	3.07832e-06	3.07832e-06	232.213
4.2	3202.04	6391.82	591.459	4.7838	5.58356	0	40.8792	60.4074	7.32135	44.6685	12.5423	4.18077	111.76	8.61085	8	0	-8	0	0	0	0	0	3.91248e-06	3.91248e-06	3.91248e-06	281.214
4.5	3203.77	6391.62	591.771	4.78655	5.58676	0	40.9013	60.4393	7.32111	44.6941	12.5351	4.17838	120.369	8.61579	8	0	-8	0	0	0	0	0	4.75361e-06	4.75361e-06	4.75361e-06	329.662
4.8	3205.95	6391.56	592.16	4.78985	5.59061	0	40.9291	60.479	7.32104	44.7249	12.5265	4.1755	128.983	8.62172	8	0	-8	0	0	0	0	0	5.72729e-06	5.72729e-06	5.72729e-06	377.291
5.1	3208.61	6391.64	592.633	4.79376	5.59518	0	40.963	60.5273	7.32113	44.7614	12.5163	4.17209	137.601	8.62876	8	0	-8	0	0	0	0	0	6.77662e-06	6.77662e-06	6.77662e-06	424.252
5.4	3211.77	6391.83	593.198	4.79834	5.60053	0	41.0034	60.585	7.32135	44.8042	12.5043	4.16811	146.227	8.63701	8	0	-8	0	0	0	0	0	8.00911e-06	8.00911e-06	8.00911e-06	471.667
5.7	3215.48	6392.11	593.864	4.80366	5.60674	0	41.0507	60.653	7.32168	44.8539	12.4905	4.16349	154.859	8.64659	8	0	-8	0	0	0	0	0	9.35262e-06	9.35262e-06	9.35262e-06	520.904
6	3219.76	6392.46	594.639	4.80979	5.61389	0	41.1054	60.7322	7.32208	44.9111	12.4746	4.15819	163.501	8.65762	8	0	-8	0	0	0	0	0	1.07657e-05	1.07657e-05	1.07657e-05	573.359
6.3	3224.65	6392.88	595.533	4.81678	5.62205	0	41.1678	60.8235	7.32256	44.9764	12.4564	4.15215	172.153	8.67021	8	0	-8	0	0	0	0	0	1.23429e-05	1.23429e-05	1.23429e-05	630.057
6.6	3230.21	6393.38	596.555	4.82471	5.63131	0	41.2388	60.9279	7.32312	45.0505	12.436	4.14533	180.817	8.68448	8	0	-8	0	0	0	0	0	1.40808e-05	1.40808e-05	1.40808e-05	691.421
