
# Sensor: Rotor
# Record count: 1003
# Storage mode: Memory
# Datetime of save: 2026-03-06T17:07:52
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	770.396 [0s]	6.87549 [0s]	8.01754 [0.3s]	0 [0s]	0 [0s]	82.8846 [1.8s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	12.3759 [0s]	6.32 [0s]	0 [0s]	-8 [0.3s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-638362 [2.4s]
Max	3563.94 [259.2s]	4949.92 [259.2s]	814.751 [259.2s]	6.87549 [0s]	10.1488 [0s]	0 [0s]	45.5834 [259.2s]	126.307 [0s]	5.68546 [259.2s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.747 [297s]	12.3759 [0s]	8 [0.3s]	0 [0s]	-6.32 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	296420 [6.9s]
Mean	3544.15	4922.43	812.568	6.87549	8.01966	0	45.3303	83.1904	5.65389	64.1403	8.72665	2.90888	178.502	12.3759	7.99833	0	-7.99833	0	0	0	0	0	0	0	0	-151577
Standard deviation	112.621	156.418	2.03476	nan	0.067295	0	1.44044	1.37183	0.179661	nan	1.89781e-06	nan	104.226	nan	0.0530468	0	0.0530468	0	0	0	0	0	0	0	0	256401
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	770.396	6.87549	10.1488	0	0	126.307	0	64.1403	8.72665	2.90888	0	12.3759	6.32	0	-6.32	0	0	0	0	0	0	0	0	0
0.3	3562.03	4947.27	814.134	6.87549	8.01754	0	45.559	83.3034	5.68242	64.1403	8.72665	2.90888	0	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-147619
0.6	3560.2	4944.73	814.007	6.87549	8.01754	0	45.5356	83.2904	5.6795	64.1403	8.72665	2.90888	12.3759	12.3759	8	0	-8	0	0	0	0	0	0	0	0	44495.7
0.9	3552	4933.33	812.932	6.87549	8.01754	0	45.4307	83.1804	5.66641	64.1403	8.72665	2.90888	24.7518	12.3759	8	0	-8	0	0	0	0	0	0	0	0	147610
