# Sensor: Rotor
# Record count: 6987
# Storage mode: Memory
# Datetime of save: 2026-03-04T12:23:03
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	-359.44 [0.05s]	-499.222 [0.05s]	106.504 [0.05s]	6.87549 [0s]	0 [0s]	0 [0s]	-4.5973 [0.05s]	10.8976 [0.05s]	-0.573405 [0.05s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	2.06265 [0s]	0 [0s]	-2.00907 [234.25s]	-12.8556 [225.9s]	-1.31019 [74.8s]	-5.20822 [269.6s]	-2.00907 [234.25s]	-1.31019 [74.8s]	-23.0503 [2.85s]	0 [0s]	0 [0s]	0 [0s]	-8.57268e+06 [204.7s]
Max	6951.11 [224.5s]	9654.32 [224.5s]	1089.52 [224.5s]	6.87549 [0s]	22.7803 [269.6s]	0 [0s]	88.9059 [224.5s]	111.481 [224.5s]	11.0889 [224.5s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.883 [279.3s]	2.06265 [0s]	12.8682 [225.9s]	2.56159 [2.85s]	0 [0s]	1.62261 [150.75s]	4.8556 [225.9s]	2.56159 [2.85s]	1.62261 [150.75s]	15.1683 [250.15s]	0 [0s]	0 [0s]	0 [0s]	6.58279e+06 [135.4s]
Mean	3909.47	5429.82	823.146	6.87549	8.59583	0	50.0028	84.2255	6.23668	64.1403	8.72665	2.90888	179.852	2.06265	7.87272	0.038824	-7.82583	0.00150333	-0.173025	0.038824	0.00150333	-0.430955	0	0	0	-563257
Standard deviation	1198.98	1665.25	118.237	4.16301e-06	2.29524	0	15.3351	12.0982	1.9127	3.558e-05	nan	9.84175e-07	104.01	nan	1.66337	0.707278	1.67694	0.434878	1.67433	0.707278	0.434878	5.63697	0	0	0	2.69271e+06
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	810.349	6.87549	0	0	0	82.9161	0	64.1403	8.72665	2.90888	0	2.06265	0	0	0	0	0	0	0	0	0	0	0	0
0.05	-359.44	-499.222	106.504	6.87549	9.16248	0	-4.5973	10.8976	-0.573405	64.1403	8.72665	2.90888	0	2.06265	7.00032	1.41649	-6.84605	0.360178	-1.15395	1.41649	0.360178	-11.6899	0	0	0	4.65661e-10
0.1	4899.62	6805.03	723.832	6.87549	8.84933	0	62.667	74.0636	7.81624	64.1403	8.72665	2.90888	2.06265	2.06265	7.24804	1.43526	-7.06732	0.72604	-0.932685	1.43526	0.72604	-11.4797	0	0	0	-260647
0.15	5272.1	7322.36	769.213	6.87549	8.81682	0	67.431	78.7069	8.41044	64.1403	8.72665	2.90888	4.12529	2.06265	7.27477	1.60487	-7.07657	0.518437	-0.923428	1.60487	0.518437	-12.7778	0	0	0	23430.4
0.2	5574.43	7742.27	807.947	6.87549	8.87599	0	71.298	82.6703	8.89275	64.1403	8.72665	2.90888	6.18794	2.06265	7.22627	1.39845	-7.07745	0.415887	-0.922547	1.39845	0.415887	-11.1772	0	0	0	90405.2
0.25	5717.54	7941.03	835.18	6.87549	8.97645	0	73.1284	85.4568	9.12105	64.1403	8.72665	2.90888	8.25059	2.06265	7.1454	1.19635	-7.04087	0.227157	-0.959131	1.19635	0.227157	-9.6433	0	0	0	728097
0.3	5875.71	8160.71	857.403	6.87549	9.03063	0	75.1513	87.7307	9.37337	64.1403	8.72665	2.90888	10.3132	2.06265	7.10253	1.22125	-6.98621	0.383826	-1.01379	1.22125	0.383826	-9.91559	0	0	0	945227
0.35	5885.42	8174.19	864.594	6.87549	9.09503	0	75.2755	88.4665	9.38886	64.1403	8.72665	2.90888	12.3759	2.06265	7.05223	1.18949	-6.92979	0.545041	-1.07021	1.18949	0.545041	-9.73983	0	0	0	1.32812e+06
0.4	6011.32	8349.06	881.419	6.87549	9.13469	0	76.8859	90.1881	9.58971	64.1403	8.72665	2.90888	14.4385	2.06265	7.02162	1.07545	-6.91701	0.549134	-1.08299	1.07545	0.549134	-8.83753	0	0	0	1.11511e+06
0.45	5945.16	8257.17	882.507	6.87549	9.45203	0	76.0397	90.2994	9.48417	64.1403	8.72665	2.90888	16.5012	2.06265	6.78588	1.14618	-6.67414	0.436124	-1.32586	1.14618	0.436124	-9.74463	0	0	0	887013
0.5	5955.82	8271.98	891.058	6.87549	9.29604	0	76.176	91.1743	9.50117	64.1403	8.72665	2.90888	18.5638	2.06265	6.89974	0.996415	-6.80593	0.541176	-1.19407	0.996415	0.541176	-8.32915	0	0	0	383978
0.55	6035.67	8382.88	901.861	6.87549	9.36353	0	77.1973	92.2797	9.62856	64.1403	8.72665	2.90888	20.6265	2.06265	6.85001	0.817053	-6.75216	0.814492	-1.24784	0.817053	0.814492	-6.8996	0	0	0	-435099
0.6	6130.79	8514.99	910.112	6.87549	9.31202	0	78.4139	93.124	9.7803	64.1403	8.72665	2.90888	22.6891	2.06265	6.88791	1.26347	-6.72659	0.774473	-1.27341	1.26347	0.774473	-10.6381	0	0	0	-1.19802e+06
0.65	6252.62	8684.2	920.988	6.87549	9.04343	0	79.9721	94.2368	9.97465	64.1403	8.72665	2.90888	24.7518	2.06265	7.09247	1.31761	-6.91569	0.860424	-1.08431	1.31761	0.860424	-10.787	0	0	0	-2.25341e+06
0.7	6310.77	8764.96	934.541	6.87549	9.16634	0	80.7159	95.6236	10.0674	64.1403	8.72665	2.90888	26.8144	2.06265	6.99737	1.27141	-6.83855	0.762194	-1.16145	1.27141	0.762194	-10.5321	0	0	0	-2.86766e+06
0.75	6309.25	8762.86	941.139	6.87549	9.35031	0	80.6965	96.2987	10.065	64.1403	8.72665	2.90888	28.8771	2.06265	6.8597	1.21042	-6.72131	0.643726	-1.27869	1.21042	0.643726	-10.2088	0	0	0	-2.41432e+06
